PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
Vista Magna,295550.0,299000.0,1085.0,1100.0,91.06261796748235,20,20,0,https://www.propertyguru.com.my/condo/vista-magna-408
Kiaramas Sutera,1191500.0,1110000.0,3666.6666666666665,3300.0,73.58843992507359,10,9,0,https://www.propertyguru.com.my/condo/kiaramas-sutera-461
Enau Court,997500.0,900000.0,3300.0,3300.0,90.75907590759076,10,1,0,https://www.propertyguru.com.my/condo/enau-court-428
Kepong Central Condominium,287877.75,272500.0,1222.5,1125.0,102.18911799436825,20,20,0,https://www.propertyguru.com.my/condo/kepong-central-condominium-415
Happy Court,192666.66666666666,178000.0,1000.0,900.0,125.15296473467572,3,4,0,https://www.propertyguru.com.my/condo/happy-court-419
Aman Satu,221375.0,236500.0,925.0,925.0,96.81200678207355,8,6,0,https://www.propertyguru.com.my/condo/aman-satu-411
Setapak Ria,357172.1,349500.0,1250.0,1200.0,84.98703947647985,20,12,0,https://www.propertyguru.com.my/condo/setapak-ria-574
Platinum Lake PV 12,410750.0,412500.0,1592.4,1600.0,96.009600960096,20,20,0,https://www.propertyguru.com.my/condo/platinum-lake-pv-12-568
Langkawi Apartment,336666.6666666667,350000.0,1100.0,1100.0,77.7934936350778,3,4,0,https://www.propertyguru.com.my/condo/langkawi-apartment-551
PV 10 Platinum Lake Condominium,434600.0,430000.0,1641.55,1600.0,92.10223347916187,20,20,0,https://www.propertyguru.com.my/condo/pv-10-platinum-lake-condominium-572
Mahsuri Apartments,350923.07692307694,345000.0,1150.0,1150.0,82.5082508250825,13,2,0,https://www.propertyguru.com.my/condo/mahsuri-apartments-552
Tar Villa,372500.0,372500.0,1112.5,1275.0,84.72323742441358,2,4,0,https://www.propertyguru.com.my/condo/tar-villa-588
Vista Wira 1 & 2,344285.71428571426,335000.0,1133.3333333333333,1000.0,73.88798581350672,7,3,0,https://www.propertyguru.com.my/condo/vista-wira-1-2-590
Hartamas Regency I,900263.1578947369,950000.0,3352.6315789473683,3000.0,78.1657113079729,19,19,0,https://www.propertyguru.com.my/condo/hartamas-regency-i-597
Puncak Prima,549230.7692307692,530000.0,2087.5,2000.0,93.40556697179153,13,8,0,https://www.propertyguru.com.my/condo/puncak-prima-603
Endah Puri,473000.0,430000.0,1740.0,1750.0,100.7368178678333,20,10,0,https://www.propertyguru.com.my/condo/endah-puri-609
Hartamas Regency II,1372199.9,1190000.0,4276.470588235294,3500.0,72.80139778683751,20,17,0,https://www.propertyguru.com.my/condo/hartamas-regency-ii-598
Mont Kiara Palma,1011947.3684210526,935000.0,3339.85,3200.0,84.71435378832001,19,20,0,https://www.propertyguru.com.my/condo/mont-kiara-palma-601
Windsor Tower,550249.95,489000.0,1925.0,1600.0,80.98969406143068,20,20,0,https://www.propertyguru.com.my/condo/windsor-tower-604
Casa Desa Condominium,659544.35,625000.0,1931.578947368421,1900.0,75.24752475247524,20,19,0,https://www.propertyguru.com.my/condo/casa-desa-condominium-613
1 Desa Residence,1646666.6666666667,1595000.0,4666.666666666667,5000.0,77.59396629318105,18,3,0,https://www.propertyguru.com.my/condo/1-desa-residence-612
Endah Villa,377190.0,380000.0,1463.157894736842,1500.0,97.70713913496613,20,19,0,https://www.propertyguru.com.my/condo/endah-villa-607
Kiara View,1343909.0909090908,1260000.0,3200.0,3000.0,58.934464875058936,11,3,0,https://www.propertyguru.com.my/condo/kiara-view-630
Prima Court,723846.1538461539,730000.0,1200.0,1200.0,40.68900040689,13,1,0,https://www.propertyguru.com.my/condo/prima-court-625
Trellises,750000.0,750000.0,2300.0,2300.0,75.9075907590759,1,1,0,https://www.propertyguru.com.my/condo/trellises-634
Kiara Park,980994.4,897444.0,2792.3076923076924,2800.0,77.22702552256108,20,13,0,https://www.propertyguru.com.my/condo/kiara-park-629
Pinggiran Kiara,1000000.0,1000000.0,2800.0,2800.0,69.30693069306932,3,1,0,https://www.propertyguru.com.my/condo/pinggiran-kiara-631
Villa Flora  (TTDI),876850.0,765000.0,2500.0,2400.0,77.65482430596,20,4,0,https://www.propertyguru.com.my/condo/villa-flora-ttdi-627
