PropertyName,MedianSale,MeanSale,StdSale,NSale,EOLSale,MOLSale,MedianRental,MeanRental,StdRental,NRental,EOLRent,MOLRent,NNaN,%toBreakEven,URL
Pavilion Hilltop @ Mont Kiara,1850000.0,2089371.1495726495,748911.7134601568,234,0.0,11.0,6000.0,6527.677053824363,2447.8932927641254,353,7.0,29.0,0,80.27829810008028,https://www.propertyguru.com.my/condo/pavilion-hilltop-mont-kiara-6554
The Andes,524450.0,618926.2894736842,267472.19981158373,38,5.0,2.0,2000.0,1961.111111111111,251.96756600996815,18,0.0,1.0,0,94.39403278682335,https://www.propertyguru.com.my/condo/the-andes-6539
"The Mews, KLCC",1440000.0,1627258.7397260275,533561.2408838698,73,0.0,6.0,4300.0,4615.695187165776,1907.6126435936167,187,0.0,5.0,0,73.91364136413641,https://www.propertyguru.com.my/condo/the-mews-klcc-6575
Fortune Perdana Lakeside Residences,540000.0,551768.75,87371.28893438134,136,13.0,4.0,1600.0,1615.4657534246576,258.2210522805426,73,10.0,5.0,0,73.34066740007333,https://www.propertyguru.com.my/condo/fortune-perdana-lakeside-residences-6551
Riverville Residences,680000.0,664870.3333333334,74250.35157642166,24,3.0,0.0,1850.0,1568.0,493.5168903417912,76,0.0,0.0,0,67.34129295282469,https://www.propertyguru.com.my/condo/riverville-residences-6590
OUG Parklane Phase 2,332500.0,335750.0,19525.85282571362,28,0.0,3.0,1200.0,1261.904761904762,245.38830351329665,42,0.0,3.0,0,89.33224149482616,https://www.propertyguru.com.my/condo/oug-parklane-phase-2-6668
OUG Parklane Phase 3,335000.0,336206.8965517241,19409.16831053149,29,0.0,3.0,1200.0,1207.7794117647059,311.60839137629875,68,8.0,4.0,0,88.66558297620806,https://www.propertyguru.com.my/condo/oug-parklane-phase-3-6671
Taman Permata Fadason,238000.0,225571.42857142858,19234.323062522097,7,0.0,0.0,850.0,825.0,43.30127018922193,4,0.0,0.0,0,88.40169731258841,https://www.propertyguru.com.my/condo/taman-permata-fadason-6620
Damai 88,1425000.0,1864933.3333333333,1985012.2775998698,18,1.0,0.0,3000.0,4211.111111111111,2362.4114066607845,9,1.0,1.0,0,52.11047420531526,https://www.propertyguru.com.my/condo/damai-88-6653
The Sanctuary,1380000.0,1326666.6666666667,89938.25042154695,3,0.0,0.0,5500.0,5500.0,0.0,1,1.0,0.0,0,98.65116946477255,https://www.propertyguru.com.my/condo/the-sanctuary-6659
Pangsapuri Mega Indah,118000.0,118000.0,0.0,1,1.0,0.0,800.0,800.0,0.0,2,2.0,0.0,0,167.81339150864238,https://www.propertyguru.com.my/condo/pangsapuri-mega-indah-6638
Verve Suites @ KL South,495000.0,577714.6341463415,207334.6706161328,41,1.0,0.0,2000.0,2118.6153846153848,366.19324056247035,91,1.0,0.0,0,100.0100010001,https://www.propertyguru.com.my/condo/verve-suites-kl-south-6656
Seasons Garden Residences @ Wangsa Maju,460000.0,466143.2110552764,44331.738272222785,199,0.0,1.0,1500.0,1525.2571428571428,220.63121691535633,175,3.0,0.0,0,80.71459319845027,https://www.propertyguru.com.my/condo/seasons-garden-residences-wangsa-maju-6686
Damansara City Residency,2521950.0,3275974.972222222,2197086.287307269,36,0.0,3.0,5500.0,7245.833333333333,3736.0829718064647,24,0.0,1.0,0,53.98148807921892,https://www.propertyguru.com.my/condo/damansara-city-residency-6710
Pearl Suria,622500.0,615054.3478260869,116728.3276719769,46,1.0,0.0,2250.0,2213.992509363296,375.3731326399577,267,0.0,0.0,0,89.46677800310151,https://www.propertyguru.com.my/condo/pearl-suria-6722
Star Residences @ KLCC,1141499.5,1583368.546511628,1094914.460919969,86,8.0,4.0,3200.0,3412.3125,1026.1279475990068,240,3.0,20.0,0,69.38936091700366,https://www.propertyguru.com.my/condo/star-residences-klcc-6707
Residency V,550000.0,573784.9462365592,87832.1773969394,93,0.0,0.0,1700.0,1788.764119601329,267.297687971649,301,0.0,7.0,0,76.5076507650765,https://www.propertyguru.com.my/condo/residency-v-6725
VIVO Residential Suites @ 9 Seputeh,730000.0,701500.0218978102,234078.11602974767,137,0.0,4.0,2200.0,2182.1991434689508,593.982675324786,467,0.0,0.0,0,74.596500745965,https://www.propertyguru.com.my/condo/vivo-residential-suites-9-seputeh-6797
Irama Wangsa,750000.0,770192.8571428572,105385.34029446218,140,1.0,2.0,2500.0,2538.0,345.4205337450907,113,0.0,0.0,0,82.5082508250825,https://www.propertyguru.com.my/condo/irama-wangsa-6791
Inwood Residences @ Pantai Sentral Park,1000000.0,1089787.8823529412,192317.29960662968,68,0.0,0.0,4000.0,3945.1397849462364,851.9938991073133,93,0.0,2.0,0,99.00990099009901,https://www.propertyguru.com.my/condo/inwood-residences-pantai-sentral-park-6806
Sentul Village Mercury Service Apartment,440000.0,444627.98876404495,72874.62090320876,89,1.0,0.0,1500.0,1571.752808988764,222.2543477108586,89,0.0,1.0,0,84.38343834383437,https://www.propertyguru.com.my/condo/sentul-village-mercury-service-apartment-6833
TTDI Ascencia,1050000.0,1179704.5454545454,325501.54164873395,44,0.0,0.0,2600.0,2881.6666666666665,742.5724805625972,60,3.0,8.0,0,61.291843470061295,https://www.propertyguru.com.my/condo/ttdi-ascencia-6821
The Robertson,685300.0,755892.9629629629,133966.4953639892,27,0.0,1.0,2100.0,2143.234234234234,304.48775341739173,111,1.0,4.0,0,75.85028165737923,https://www.propertyguru.com.my/condo/the-robertson-6863
Dorsett Residences Bukit Bintang,1175000.0,1318000.0,312755.495555234,10,0.0,0.0,3300.0,3235.714285714286,429.0473547908916,56,0.0,0.0,0,69.51759005687803,https://www.propertyguru.com.my/condo/dorsett-residences-bukit-bintang-6866
Laman Damai Kepong (Li Garden),220000.0,216811.70588235295,11919.512602376017,17,0.0,0.0,700.0,706.4651162790698,46.65676193531656,43,0.0,0.0,0,78.75787578757875,https://www.propertyguru.com.my/condo/laman-damai-kepong-li-garden-6875
Taman Usaha Jaya Shop Apartment,330000.0,330000.0,0.0,1,1.0,0.0,850.0,850.0,0.0,1,1.0,0.0,0,63.75637563756375,https://www.propertyguru.com.my/condo/taman-usaha-jaya-shop-apartment-6878
SERINI Melawati,645000.0,616860.8695652174,123135.604779695,69,1.0,4.0,1700.0,1820.2753623188405,355.43065872417446,69,0.0,6.0,0,65.23908204773966,https://www.propertyguru.com.my/condo/serini-melawati-6965
Chymes @ Gurney,565000.0,598293.75,215235.4393122506,16,0.0,0.0,2700.0,2806.1041666666665,712.548514125627,48,0.0,0.0,0,118.28616489967581,https://www.propertyguru.com.my/condo/chymes-gurney-6935
Trinity Aquata,570000.0,587573.5632183908,99277.78219082435,87,10.0,7.0,1800.0,1847.774193548387,256.0335633673566,93,0.0,1.0,0,78.1657113079729,https://www.propertyguru.com.my/condo/trinity-aquata-6968
KL Traders Square Residences,490000.0,494815.01937984495,66797.50276423802,258,0.0,3.0,1700.0,1726.1860465116279,291.027523870615,387,0.0,1.0,0,85.87593453222873,https://www.propertyguru.com.my/condo/kl-traders-square-residences-6980
The Westside II,1200000.0,1264848.4848484849,215478.62457612695,66,0.0,0.0,3600.0,3719.4174757281553,494.83904462254037,103,1.0,32.0,0,74.25742574257426,https://www.propertyguru.com.my/condo/the-westside-ii-7007
Denai Sutera,704000.0,721807.6538461539,121378.95871352735,26,6.0,0.0,2400.0,2400.0,100.0,2,2.0,0.0,0,84.38343834383437,https://www.propertyguru.com.my/condo/denai-sutera-6998
Pangsapuri Seroja (Laman Rimbunan),232500.0,229812.5,14917.350426600564,16,0.0,0.0,850.0,850.0,96.36241116594316,21,0.0,0.0,0,90.49292025976791,https://www.propertyguru.com.my/condo/pangsapuri-seroja-laman-rimbunan-6986
DEX Suites 1.0 (Tower A) @ Kiara East,420000.0,395431.8181818182,131563.15848071408,11,2.0,1.0,1600.0,1653.3333333333333,366.2725154247252,15,1.0,0.0,0,94.29514380009428,https://www.propertyguru.com.my/condo/dex-suites-1-0-tower-a-kiara-east-7004
Flat Taman Melati Blok A,210000.0,210000.0,0.0,4,4.0,0.0,790.0,785.0,16.583123951777,4,0.0,0.0,0,93.11645450259311,https://www.propertyguru.com.my/condo/flat-taman-melati-blok-a-7082
Flat Taman Melati Blok E,175000.0,175000.0,0.0,1,1.0,0.0,925.0,925.0,75.0,2,2.0,0.0,0,130.83451202263083,https://www.propertyguru.com.my/condo/flat-taman-melati-blok-e-7094
Desa Pandan Baiduri Apartment Block C1,320000.0,324000.0,13564.659966250536,5,5.0,0.0,1300.0,1300.0,0.0,1,1.0,0.0,0,100.5569306930693,https://www.propertyguru.com.my/condo/desa-pandan-baiduri-apartment-block-c1-7061
The Manhattan,940000.0,960000.0,70305.45599636732,8,1.0,1.0,3000.0,3263.6363636363635,621.2490750279959,11,11.0,0.0,1,78.99726142827049,https://www.propertyguru.com.my/condo/the-manhattan-7328
Apartment Abdullah Hukum,365000.0,358333.3333333333,9428.090415820634,3,0.0,0.0,1600.0,1614.0,133.80582946942184,25,0.0,1.0,0,108.50400108504,https://www.propertyguru.com.my/condo/apartment-abdullah-hukum-7397
Bayu Sentul Condominium,450000.0,486759.0240963855,87233.74597396365,83,0.0,4.0,1800.0,1758.111111111111,137.9540539007619,54,0.0,0.0,0,99.00990099009901,https://www.propertyguru.com.my/condo/bayu-sentul-condominium-7400
Nobleton Crest,4738000.0,4551655.25,644551.782158961,76,0.0,5.0,13000.0,13342.857142857143,3007.0665073442983,14,0.0,0.0,0,67.9151916880164,https://www.propertyguru.com.my/condo/nobleton-crest-7367
Vortex Hotel Suites & Residences @ KLCC,900000.0,1000364.8513513514,342748.85907471436,74,4.0,6.0,2500.0,2630.487804878049,890.6386798143005,123,3.0,11.0,0,68.75687568756875,https://www.propertyguru.com.my/condo/vortex-hotel-suites-residences-klcc-7424
Citizen 2 @ Old Klang Road,500000.0,529137.3737373737,59576.64545786238,99,0.0,0.0,1800.0,1810.183962264151,301.9805990384502,212,4.0,22.0,0,89.10891089108911,https://www.propertyguru.com.my/condo/citizen-2-old-klang-road-7445
