PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
The Lumayan Apartment,358550.0,360000.0,1350.0,1350.0,92.82178217821782,20,4,0,https://www.propertyguru.com.my/condo/the-lumayan-apartment-12210
Maxim Citylights,370889.5,355000.0,1489.9,1450.0,101.10165946172081,20,20,0,https://www.propertyguru.com.my/condo/maxim-citylights-12729
Desa Pandan Apartment,311400.0,300000.0,916.6666666666666,900.0,74.25742574257426,20,3,0,https://www.propertyguru.com.my/condo/desa-pandan-apartment-13189
Pangsa Murni Titiwangsa,350000.0,350000.0,1250.0,1250.0,88.40169731258841,1,1,0,https://www.propertyguru.com.my/condo/pangsa-murni-titiwangsa-13266
V Residence 3 @ Sunway Velocity,1079394.95,1057025.0,2660.0,2400.0,56.201074330370055,20,20,0,https://www.propertyguru.com.my/condo/v-residence-3-sunway-velocity-13418
Taman Setapak,678644.4,635000.0,2050.0,2050.0,79.90956575972557,20,2,0,https://www.propertyguru.com.my/condo/taman-setapak-13518
Kiara East - DEX Suites,451600.0,425000.0,1563.5,1589.5,92.57425742574257,20,20,0,https://www.propertyguru.com.my/condo/kiara-east-dex-suites-13580
Brem Park 2,425350.0,420000.0,1289.2857142857142,1250.0,73.66808109382367,20,14,0,https://www.propertyguru.com.my/condo/brem-park-2-13636
Menara Damansara,443333.3333333333,415000.0,1520.0,1600.0,95.43122986997496,6,5,0,https://www.propertyguru.com.my/condo/menara-damansara-13799
Mandarina Court,277400.0,272500.0,1124.75,1099.5,99.87283131982923,20,4,0,https://www.propertyguru.com.my/condo/mandarina-court-13801
Astana Square,382000.0,382000.0,900.0,900.0,58.31735005961329,2,1,0,https://www.propertyguru.com.my/condo/astana-square-14051
Pandan Terrace Apartment (Pandan Perdana),424666.6666666667,274000.0,933.3333333333334,1100.0,99.37125099371251,6,3,0,https://www.propertyguru.com.my/condo/pandan-terrace-apartment-pandan-perdana-14064
Sunway Velocity TWO,672100.0,640000.0,2400.0,2300.0,88.95420792079207,20,10,0,https://www.propertyguru.com.my/condo/sunway-velocity-two-14103
PV9 Residences @ Taman Melati,855000.0,855000.0,1300.0,1300.0,37.63534248161658,2,1,0,https://www.propertyguru.com.my/condo/pv9-residences-taman-melati-14162
Vista Danau Kota Residensi Wilayah,400000.0,385000.0,1557.142857142857,1600.0,102.86742960010288,4,7,0,https://www.propertyguru.com.my/condo/vista-danau-kota-residensi-wilayah-14167
UNA Serviced Apartment @ Jalan Peel,945562.0,893844.0,3142.5,3300.0,91.38414344878042,14,20,0,https://www.propertyguru.com.my/condo/una-serviced-apartment-jalan-peel-14175
Infiniti3 Residences @ Wangsa Maju,769095.0,700000.0,2530.0,2400.0,84.86562942008486,20,20,0,https://www.propertyguru.com.my/condo/infiniti3-residences-wangsa-maju-14331
3 Towers,643810.0,555000.0,1744.9,1499.5,66.87628222281688,20,20,0,https://www.propertyguru.com.my/condo/3-towers-14344
Megan Setapak,180000.0,180000.0,850.0,850.0,116.88668866886688,1,1,0,https://www.propertyguru.com.my/condo/megan-setapak-16728
Kapas Heights,5900000.0,5900000.0,15125.0,15000.0,62.9300218157409,1,8,0,https://www.propertyguru.com.my/condo/kapas-heights-16668
Aira Residence,5811965.0,6565650.0,15545.0,15000.0,56.549942307748864,20,20,0,https://www.propertyguru.com.my/condo/aira-residence-15629
12 Kapas,6600000.0,6200000.0,11000.0,11000.0,43.915681890769726,4,1,0,https://www.propertyguru.com.my/condo/12-kapas-16394
Cheras Heights Condominium @ Taman Bukit Cheras,706600.0,630000.0,2000.0,2000.0,78.57928650007858,10,2,0,https://www.propertyguru.com.my/condo/cheras-heights-condominium-taman-bukit-cheras-16064
Desa Petaling Flat,177055.55555555556,150000.0,716.6666666666666,750.0,123.76237623762377,9,3,0,https://www.propertyguru.com.my/condo/desa-petaling-flat-10292
Trinity Lemanja,596597.5,550000.0,1462.5,1450.0,65.25652565256524,20,20,0,https://www.propertyguru.com.my/condo/trinity-lemanja-10289
Avara Seputeh,683900.0,637000.0,2433.3333333333335,2500.0,97.1447223215257,20,3,0,https://www.propertyguru.com.my/condo/avara-seputeh-10395
Taman Orkid Desa,605333.3333333334,565000.0,833.3333333333334,650.0,28.476298957329362,12,3,0,https://www.propertyguru.com.my/condo/taman-orkid-desa-10616
Taman Sri Endah,821090.9090909091,1181000.0,800.0,800.0,16.76712971889907,11,1,0,https://www.propertyguru.com.my/condo/taman-sri-endah-11106
Legend Height,618650.0,610000.0,1862.5,1900.0,77.09787372179841,20,20,0,https://www.propertyguru.com.my/condo/legend-height-11202
Tuan Residency,531329.0,585000.0,1531.3,1565.0,66.21816027756621,20,20,0,https://www.propertyguru.com.my/condo/tuan-residency-11558
ViiA Residence,1223057.4166666667,1225000.0,3714.5,3550.0,71.73166296221459,12,20,0,https://www.propertyguru.com.my/condo/viia-residence-11584
Angkasa Impian 1,550461.6,599000.0,2204.85,1750.0,72.31524488008066,20,20,0,https://www.propertyguru.com.my/condo/angkasa-impian-1-11834
Taman Bukit Desa,1142857.142857143,900000.0,2560.0,1800.0,49.504950495049506,7,5,0,https://www.propertyguru.com.my/condo/taman-bukit-desa-10062
DC Residensi @ Damansara Heights,3592550.0,2550000.0,7160.0,5500.0,53.387691710347504,20,20,0,https://www.propertyguru.com.my/condo/dc-residensi-damansara-heights-10115
Legasi Kampong Bharu,870255.75,850000.0,2799.9,2899.5,84.43506115317413,20,20,0,https://www.propertyguru.com.my/condo/legasi-kampong-bharu-10241
1 Razak Mansion,318900.0,315000.0,1359.8,1599.0,125.64827911362565,10,5,0,https://www.propertyguru.com.my/condo/1-razak-mansion-10338
Taman Sungai Besi,206666.5,212499.5,800.0,800.0,93.18600842834832,6,1,0,https://www.propertyguru.com.my/condo/taman-sungai-besi-10977
Taman Setiawangsa,3100500.0,1220000.0,2700.0,2700.0,54.7800681707515,20,2,0,https://www.propertyguru.com.my/condo/taman-setiawangsa-10486
Seksyen 10 Wangsa Maju,291950.0,267500.0,966.6666666666666,1100.0,101.7858795225317,8,3,0,https://www.propertyguru.com.my/condo/seksyen-10-wangsa-maju-11216
Residensi Gembira 737,698000.0,698000.0,1277.45,1300.0,46.1005985985418,1,20,0,https://www.propertyguru.com.my/condo/residensi-gembira-737-11688
Nidoz Residences @ Desa Petaling,771450.0,780000.0,2389.5,2750.0,87.26834221883728,20,20,0,https://www.propertyguru.com.my/condo/nidoz-residences-desa-petaling-11690
